"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100p","","","","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal",""
"C2","1","10n","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C3","1","100n","","","","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","~"
"C4","1","10000uF, 40V","","","","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn","~"
"J1","1","Ext. rly. - Norm. Open","","","","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical","~"
"J2","1","Discharge_out","","Excluded from BOM","Excluded from board","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical","~"
"J3","1","+ Battery (5-15V) -","","","","Connector:Banana_Jack_2Pin","~"
"Q1","1","IRLI530N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf540n.pdf"
"R1","1","100","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R2","1","7.5k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R3,R4","2","100k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"RV1","1","B1M","","","","Custom-With-3D:Potentiometer_16mm-Alpha_Bourns_Omega-Single_Horizontal",""
"SW1","1","MOM_FIRE","","","","Custom-With-3D:SW_PUSH-12mm",""
"SW2","1","TOG. ARM","","","","PCM_4ms_Switch:Switch_Toggle_SPDT_SubMini","~"
"T1","1","Ignition Coil","","","","Connector:Banana_Jack_2Pin","~"
"U1","1","NE555P","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf"
